"length.x.size.","as.numeric.x.totss.","x.tot.withinss","x.betweenss","x.iter"
2000,43573937698053.1,1597224104284.53,41976713593768.6,9
2500,43573937698053.1,1448210786692.18,42125726911360.9,9
3000,43573937698053.1,1313538548688.28,42260399149364.8,10
3500,43573937698053.1,1217305964736.97,42356631733316.1,8
4000,43573937698053.1,1125447577517.15,42448490120536,9
4100,43573937698053.1,1108533584156.96,42465404113896.1,7
4200,43573937698053.1,1084987975790.48,42488949722262.6,8
4300,43573937698053.1,1076874842848.77,42497062855204.3,9
4400,43573937698053.1,1068351600373.03,42505586097680.1,8
4500,43573937698053.1,1042127280133.26,42531810417919.9,9
4600,43573937698053.1,1044812498393.54,42529125199659.6,7
4700,43573937698053.1,1025284843380.92,42548652854672.2,8
4800,43573937698053.1,1014811161705.82,42559126536347.3,8
4810,43573937698053.1,1021282793181.33,42552654904871.8,7
4820,43573937698053.1,1013736320119.72,42560201377933.4,7
4830,43573937698053.1,1008582364220.4,42565355333832.7,9
4840,43573937698053.1,1011988955539.86,42561948742513.2,7
4850,43573937698053.1,1016716573943.27,42557221124109.8,9
4860,43573937698053.1,1006392873057.09,42567544824996,7
4865,43573937698053.1,1011499221186.89,42562438476866.2,9
4870,43573937698053.1,991458518817.146,42582479179236,8
4875,43573937698053.1,1012410618424.77,42561527079628.3,8
4878,43573937698053.1,988027380307.651,42585910317745.5,7
4879,43573937698053.1,1008474747766.53,42565462950286.6,8
4880,43573937698053.1,1000765979912.97,42573171718140.1,8
4881,43573937698053.1,1002583031324.78,42571354666728.3,7
4882,43573937698053.1,1009201925433.22,42564735772619.9,7
4883,43573937698053.1,1003333614881.46,42570604083171.6,7
4890,43573937698053.1,997527999024.199,42576409699028.9,8
4900,43573937698053.1,994430474943.468,42579507223109.6,8
5000,43573937698053.1,986095600319.876,42587842097733.2,8
5500,43573937698053.1,926524763805.935,42647412934247.2,8
