"length.x.size.","as.numeric.x.totss.","x.tot.withinss","x.betweenss","x.iter"
2000,22122386424440.2,1188081824600.51,20934304599839.7,9
2100,22122386424440.2,1158815980658.87,20963570443781.3,10
2200,22122386424440.2,1136788948366.46,20985597476073.7,10
2300,22122386424440.2,1111603246447.67,21010783177992.5,8
2400,22122386424440.2,1093769128213.42,21028617296226.7,9
2500,22122386424440.2,1078352018882.16,21044034405558,9
2600,22122386424440.2,1048420720521.13,21073965703919,11
2700,22122386424440.2,1032775775778.49,21089610648661.7,11
2710,22122386424440.2,1036860473542.61,21085525950897.6,9
2720,22122386424440.2,1032637905933.79,21089748518506.4,9
2730,22122386424440.2,1035885260607.01,21086501163833.2,9
2740,22122386424440.2,1029965642843.07,21092420781597.1,10
2750,22122386424440.2,1030478004247.84,21091908420192.3,10
2760,22122386424440.2,1028300455021.64,21094085969418.5,9
2770,22122386424440.2,1027827136691.28,21094559287748.9,11
2780,22122386424440.2,1023549473821.04,21098836950619.1,11
2790,22122386424440.2,1018282288868.28,21104104135571.9,11
2800,22122386424440.2,1017665221336.05,21104721203104.1,9
2810,22122386424440.2,1022052339940.86,21100334084499.3,8
2820,22122386424440.2,1014835740931,21107550683509.2,9
2830,22122386424440.2,1007435036343.41,21114951388096.7,9
2840,22122386424440.2,1012273711370.29,21110112713069.9,9
2850,22122386424440.2,1004134517326.09,21118251907114.1,11
2860,22122386424440.2,1011948017481.74,21110438406958.4,9
2870,22122386424440.2,1007665574833.25,21114720849606.9,10
2871,22122386424440.2,1010918339536.97,21111468084903.2,8
2872,22122386424440.2,1010463864745.38,21111922559694.8,8
2873,22122386424440.2,1014292770718.76,21108093653721.4,10
2874,22122386424440.2,1004065340598.94,21118321083841.2,11
2875,22122386424440.2,1003515021855.43,21118871402584.7,8
2876,22122386424440.2,1005240819582.72,21117145604857.4,9
2877,22122386424440.2,1004329564470.11,21118056859970.1,11
2878,22122386424440.2,1006197430004.83,21116188994435.3,10
2879,22122386424440.2,1009535915744.18,21112850508696,10
2880,22122386424440.2,1006107860412.14,21116278564028,9
2881,22122386424440.2,1001690603542.26,21120695820897.9,9
2882,22122386424440.2,1012056305207.24,21110330119232.9,11
2883,22122386424440.2,1002504233654.82,21119882190785.3,9
2884,22122386424440.2,1005281725126.96,21117104699313.2,11
2885,22122386424440.2,1003540019887.3,21118846404552.9,11
2886,22122386424440.2,1009402296142.19,21112984128298,10
2887,22122386424440.2,1009945543019.11,21112440881421.1,9
2888,22122386424440.2,1004107958053.08,21118278466387.1,11
2889,22122386424440.2,1001014403729.24,21121372020710.9,10
2890,22122386424440.2,1004949892138.99,21117436532301.2,11
2891,22122386424440.2,1001597547246.45,21120788877193.7,7
2892,22122386424440.2,1002875094857.32,21119511329582.8,8
2893,22122386424440.2,996500350773.981,21125886073666.2,8
2894,22122386424440.2,1003115215858.56,21119271208581.6,10
2895,22122386424440.2,999739660123.241,21122646764316.9,9
2896,22122386424440.2,1005588049995.78,21116798374444.4,10
2897,22122386424440.2,999946960401.649,21122439464038.5,10
2898,22122386424440.2,1000211590084.7,21122174834355.5,10
2899,22122386424440.2,1002099270719.54,21120287153720.6,11
2900,22122386424440.2,1003100646209.86,21119285778230.3,8
3000,22122386424440.2,982684290223.194,21139702134217,8
