"length.x.size.","as.numeric.x.totss.","x.tot.withinss","x.betweenss","x.iter"
1000,23314565909938.9,9493030510.15799,23305072879428.8,11
1100,23314565909938.9,8843003661.7978,23305722906277.1,11
1200,23314565909938.9,8070824078.94768,23306495085860,10
1300,23314565909938.9,7434994813.34998,23307130915125.6,11
1400,23314565909938.9,6634807573.99944,23307931102364.9,10
1500,23314565909938.9,6337945668.24442,23308227964270.7,9
1600,23314565909938.9,5845767510.44394,23308720142428.5,11
1700,23314565909938.9,5667490520.24286,23308898419418.7,9
1800,23314565909938.9,5361119215.76571,23309204790723.2,10
1900,23314565909938.9,5039638285.09533,23309526271653.8,10
2000,23314565909938.9,4762516193.53863,23309803393745.4,8
2100,23314565909938.9,4499164541.47573,23310066745397.4,8
2200,23314565909938.9,4256764380.68042,23310309145558.2,11
2300,23314565909938.9,3966113242.41035,23310599796696.5,9
2400,23314565909938.9,4015682482.03839,23310550227456.9,8
2500,23314565909938.9,3828755607.32635,23310737154331.6,7
2600,23314565909938.9,3577199537.81163,23310988710401.1,7
2700,23314565909938.9,3531423463.40281,23311034486475.5,10
2800,23314565909938.9,3404538025.1065,23311161371913.8,9
2900,23314565909938.9,3264763283.50306,23311301146655.4,7
3000,23314565909938.9,3118368083.2567,23311447541855.7,8
3100,23314565909938.9,3050882999.39459,23311515026939.5,8
3200,23314565909938.9,2872889379.43542,23311693020559.5,8
3300,23314565909938.9,2830125924.761,23311735784014.2,7
3400,23314565909938.9,2684440669.22287,23311881469269.7,9
3500,23314565909938.9,2598981329.03346,23311966928609.9,8
3600,23314565909938.9,2554017566.0751,23312011892372.8,7
3700,23314565909938.9,2449804146.5432,23312116105792.4,7
3800,23314565909938.9,2435486065.98907,23312130423872.9,10
3900,23314565909938.9,2361882215.10308,23312204027723.8,7
4000,23314565909938.9,2248249011.2574,23312317660927.7,8
4100,23314565909938.9,2198810778.51986,23312367099160.4,7
4200,23314565909938.9,2123539225.34963,23312442370713.6,7
4300,23314565909938.9,2109191895.49838,23312456718043.4,8
4400,23314565909938.9,2119090218.69823,23312446819720.2,7
4500,23314565909938.9,1932598957.85893,23312633310981.1,7
4600,23314565909938.9,1911895581.25336,23312654014357.7,6
4700,23314565909938.9,1906881695.44008,23312659028243.5,6
4800,23314565909938.9,1863461379.389,23312702448559.5,8
4900,23314565909938.9,1825898831.0455,23312740011107.9,7
5000,23314565909938.9,1806439562.76559,23312759470376.2,7
5100,23314565909938.9,1744627168.82739,23312821282770.1,10
5200,23314565909938.9,1590156397.90773,23312975753541,7
5300,23314565909938.9,1710582485.26937,23312855327453.6,6
5400,23314565909938.9,1566574120.61817,23312999335818.3,7
5500,23314565909938.9,1588288197.48725,23312977621741.4,7
5600,23314565909938.9,1507938265.21659,23313057971673.7,6
5700,23314565909938.9,1465788386.31408,23313100121552.6,6
5800,23314565909938.9,1489402635.2566,23313076507303.7,7
5900,23314565909938.9,1440455643.455,23313125454295.5,7
6000,23314565909938.9,1396655607.1094,23313169254331.8,6
