"length.x.size.","as.numeric.x.totss.","x.tot.withinss","x.betweenss","x.iter"
1000,13637578176303.2,13656631568.8617,13623921544734.3,8
1100,13637578176303.2,11636362650.2836,13625941813652.9,10
1200,13637578176303.2,10667570647.3997,13626910605655.8,10
1300,13637578176303.2,10227525780.4602,13627350650522.7,9
1400,13637578176303.2,9897599389.19928,13627680576914,10
1500,13637578176303.2,8945672402.03279,13628632503901.1,9
1600,13637578176303.2,8387344198.37651,13629190832104.8,8
1700,13637578176303.2,7702570500.4627,13629875605802.7,11
1800,13637578176303.2,7134806090.87476,13630443370212.3,7
1900,13637578176303.2,7036062382.16998,13630542113921,10
2000,13637578176303.2,6685547885.22656,13630892628417.9,9
2100,13637578176303.2,6125196848.81453,13631452979454.4,8
2200,13637578176303.2,6079027314.40744,13631499148988.8,7
2300,13637578176303.2,5668767787.32538,13631909408515.8,8
2400,13637578176303.2,5568202429.38782,13632009973873.8,9
2500,13637578176303.2,5322891785.39238,13632255284517.8,7
2600,13637578176303.2,5084796241.55013,13632493380061.6,8
2700,13637578176303.2,4827065745.95082,13632751110557.2,7
2800,13637578176303.2,4658407773.81787,13632919768529.3,8
2900,13637578176303.2,4383977246.94011,13633194199056.2,8
3000,13637578176303.2,4115294794.6363,13633462881508.5,8
3100,13637578176303.2,4148571247.56385,13633429605055.6,9
3200,13637578176303.2,4033417325.49365,13633544758977.7,7
3300,13637578176303.2,3900123472.91539,13633678052830.3,8
3400,13637578176303.2,3687300299.45397,13633890876003.7,8
3500,13637578176303.2,3673679111.00494,13633904497192.2,8
3600,13637578176303.2,3385726588.73204,13634192449714.4,7
3700,13637578176303.2,3341792692.20797,13634236383611,7
3800,13637578176303.2,3154936171.80701,13634423240131.4,7
3900,13637578176303.2,3070110654.65505,13634508065648.5,7
4000,13637578176303.2,3114601039.32297,13634463575263.8,9
4100,13637578176303.2,2999596036.15675,13634578580267,7
4200,13637578176303.2,2883033230.16283,13634695143073,7
4300,13637578176303.2,2765478310.97616,13634812697992.2,7
4400,13637578176303.2,2811959228.08168,13634766217075.1,7
4500,13637578176303.2,2680581034.05907,13634897595269.1,8
4600,13637578176303.2,2697738135.22804,13634880438167.9,8
4700,13637578176303.2,2577896932.04863,13635000279371.1,7
4800,13637578176303.2,2471469657.74526,13635106706645.4,7
4900,13637578176303.2,2297644243.95166,13635280532059.2,7
5000,13637578176303.2,2378365260.45689,13635199811042.7,8
5100,13637578176303.2,2231888719.89514,13635346287583.3,7
5200,13637578176303.2,2164471601.78295,13635413704701.4,7
5300,13637578176303.2,2122057889.18297,13635456118414,8
5400,13637578176303.2,2194375917.1449,13635383800386,7
5500,13637578176303.2,2111055959.10053,13635467120344.1,7
5600,13637578176303.2,2085942815.55151,13635492233487.6,8
5700,13637578176303.2,1992908995.19845,13635585267308,7
5800,13637578176303.2,1903892014.64804,13635674284288.5,7
5900,13637578176303.2,1905156573.25379,13635673019729.9,6
6000,13637578176303.2,1996093807.3904,13635582082495.8,6
