"Var1","Freq"
"HEAT/HOT WATER",279333
"Street Condition",204031
"Blocked Driveway",146101
"HEATING",138301
"Illegal Parking",120770
"UNSANITARY CONDITION",111515
"PAINT/PLASTER",107810
"Water System",107797
"PLUMBING",107527
"Street Light Condition",96286
"Noise",86560
"Noise - Street/Sidewalk",67948
"Noise - Commercial",66102
"Sewer",58893
"Dirty Conditions",57504
"DOOR/WINDOW",53793
"ELECTRIC",52908
"WATER LEAK",51906
"Sanitation Condition",46894
"Traffic Signal Condition",46582
"Broken Muni Meter",46328
"General Construction/Plumbing",45168
"Building/Use",44105
"Rodent",43819
"GENERAL",43176
"FLOORING/STAIRS",38018
"Missed Collection (All Materials)",37926
"Damaged Tree",31168
"Consumer Complaint",29613
"Derelict Vehicle",29119
"Snow",28388
"Noise - Vehicle",27698
"Taxi Complaint",27490
"Graffiti",26146
"Overgrown Tree/Branches",25807
"GENERAL CONSTRUCTION",25616
"Derelict Vehicles",24349
"PAINT - PLASTER",19250
"APPLIANCE",18029
"Dead Tree",17288
"Animal Abuse",16313
"Root/Sewer/Sidewalk Condition",15756
"Elevator",15378
"Food Establishment",14474
"SAFETY",13736
"NONCONST",13250
"Air Quality",12892
"Construction",10944
"Highway Condition",10312
"Other Enforcement",9813
"Water Conservation",9735
"Street Sign - Damaged",9259
"Indoor Air Quality",8544
"Sidewalk Condition",8099
"Fire Safety Director - F58",7978
"Special Enforcement",7978
"Plumbing",7294
"Street Sign - Missing",7225
"Traffic",7176
"Special Projects Inspection Team (SPIT)",7115
"Maintenance or Facility",6857
"Noise - Park",6369
"Vending",6063
"Electrical",5967
"Homeless Encampment",5918
"Food Poisoning",5182
"For Hire Vehicle Complaint",5085
"Homeless Person Assistance",4774
"Hazardous Materials",4730
"Litter Basket / Request",4363
"Illegal Tree Damage",4013
"Unsanitary Animal Pvt Property",3822
"Asbestos",3590
"Lead",3493
"Vacant Lot",3326
"Standing Water",3161
"Smoking",3046
"Street Sign - Dangling",2969
"Boilers",2913
"Non-Residential Heat",2903
"DOF Property - Reduction Issue",2809
"Industrial Waste",2559
"OUTSIDE BUILDING",2505
"School Maintenance",2455
"Noise - Helicopter",2371
"Indoor Sewage",2267
"Taxi Report",2135
"EAP Inspection - F59",2061
"Water Quality",2060
"Sweeping/Missed",2034
"Derelict Bicycle",2031
"Drinking",2030
"Curb Condition",1982
"Overflowing Litter Baskets",1957
"Noise - House of Worship",1804
"Recycling Enforcement",1562
"ELEVATOR",1337
"DOF Parking - Tax Exemption",1335
"BEST/Site Safety",1038
"Unleashed Dog",986
"Unsanitary Pigeon Condition",962
"DPR Internal",921
"Broken Parking Meter",900
"Investigations and Discipline (IAD)",856
"Public Payphone Complaint",839
"Violation of Park Rules",825
"Bridge Condition",814
"Urinating in Public",783
"Disorderly Youth",769
"Bike/Roller/Skate Chronic",730
"Mold",700
"Request Xmas Tree Collection",671
"Sweeping/Inadequate",625
"Found Property",623
"Animal in a Park",616
"Emergency Response Team (ERT)",615
"Fire Alarm - Reinspection",575
"City Vehicle Placard Complaint",502
"Cranes and Derricks",489
"Senior Center Complaint",460
"Plant",439
"Illegal Animal Kept as Pet",422
"Harboring Bees/Wasps",421
"CONSTRUCTION",372
"Illegal Fireworks",371
"Bus Stop Shelter Placement",347
"Scaffold Safety",340
"Panhandling",320
"Collection Truck Noise",302
"Fire Alarm - New System",298
"Beach/Pool/Sauna Complaint",282
"For Hire Vehicle Report",275
"Fire Alarm - Modification",273
"Poison Ivy",246
"Drinking Water",238
"Posting Advertisement",232
"Vector",223
"Unsanitary Animal Facility",187
"Bike Rack Condition",181
"Municipal Parking Facility",170
"Sweeping/Missed-Inadequate",146
"Miscellaneous Categories",140
"Tattooing",137
"Animal Facility - No Permit",134
"Special Natural Area District (SNAD)",87
"Window Guard",86
"Illegal Animal Sold",83
"Overflowing Recycling Baskets",77
"Open Flame Permit",71
"Public Toilet",67
"Stalled Sites",66
"Literature Request",65
"Adopt-A-Basket",62
"Public Assembly",46
"Fire Alarm - Addition",42
"Lifeguard",30
"Bottled Water",24
"Legal Services Provider Complaint",24
"Fire Alarm - Replacement",23
"Calorie Labeling",20
"Transportation Provider Complaint",20
"Highway Sign - Damaged",18
"X-Ray Machine/Equipment",16
"Sprinkler - Mechanical",14
"Hazmat Storage/Use",13
"Radioactive Material",13
"Tanning",9
"Foam Ban Enforcement",8
"Public Assembly - Temporary",7
"Rangehood",6
"Squeegee",6
"Highway Sign - Missing",5
"Standpipe - Mechanical",5
"Building Condition",4
"Trans Fat",4
"AGENCY",3
"Highway Sign - Dangling",3
"VACANT APARTMENT",3
"Forensic Engineering",2
"Gas Station Discharge Lines",1
"Laboratory",1
"Portable Toilet",0
"STRUCTURAL",0
"Summer Camp",0
