"Var1","Freq"
"ENTIRE BUILDING",180388
"Pothole",136899
"HEAT",129512
"No Access",110122
"Loud Music/Party",99373
"APARTMENT ONLY",98945
"Street Light Out",79397
"CEILING",62945
"PESTS",54839
"WALL",51191
"MOLD",45488
"FLOOR",42700
"Noise: Construction Before/After Hours (NM1)",40517
"Partial Access",35979
"Posted Parking Sign Violation",34531
"Loud Talking",33401
"15 Street Cond/Dump-Out/Drop-Off",31310
"Illegal Conversion Of Residential Building/Space",30284
"Driver Complaint",29573
"With License Plate",29119
"BASIN/SINK",26369
"Controller",26309
"Graffiti",26036
"DOOR",25260
"HEAVY FLOW",24640
"14 Derelict Vehicles",24349
"Blocked Hydrant",24081
"Sewer Backup (Use Comments) (SA)",23631
"Leak (Use Comments) (WA2)",23604
"Rat Sighting",22506
"Cave-in",21248
"SLOW LEAK",20516
"Commercial Overnight Parking",20183
"WINDOW FRAME",19380
"Blocked Sidewalk",19205
"WATER SUPPLY",19130
"E9 Snow / Icy Sidewalk",18406
"1 Missed Collection",17485
"Dead/Dying Tree",17288
"Hydrant Running Full (WA4)",17256
"GARBAGE/RECYCLING STORAGE",17134
"Car/Truck Music",16955
"Coin or Card Did Not Register",16803
"No Receipt",16346
"E3 Dirty Sidewalk",16104
"BATHTUB/SHOWER",15375
"Catch Basin Clogged/Flooding (Use Comments) (SC)",14609
"Elevator - Defective/Not Working",14519
"Hydrant Running (WC3)",14070
"Branch or Limb Has Fallen Down",13493
"WATER-LEAKS",13391
"Trees and Sidewalks Program",13090
"12 Dead Animals",13022
"RADIATOR",12882
"Noise, Barking Dog (NR5)",12781
"TOILET",12610
"LIGHTING",11296
"Dirty Water (WE)",11243
"CABINET",11034
"Condition Attracting Rodents",10984
"ELECTRIC/GAS RANGE",10394
"N/A",10355
"Rough, Pitted or Cracked Roads",10328
"Noise: Construction Equipment (NC1)",10300
"NO LIGHTING",10208
"Defective Hardware",10137
"E15 Illegal Postering",10098
"On Site Test",10039
"E3A Dirty Area/Alleyway",9869
"OUTLET/SWITCH",9763
"Failed Street Repair",9728
"COOKING GAS",9701
"Double Parked Blocking Traffic",9445
"VERMIN",9101
"Hydrant Leaking (WC1)",8904
"Out of Order",8818
"15S Re-Plow/Spread/Ice-Snow Cond.",8790
"WALLS",8434
"HEAT RELATED",8338
"Hitting Building",8277
"POWER OUTAGE",8234
"Blocked - Construction",8086
"SEP - Professional Certification Compliance Audit",7978
"BELL/BUZZER/INTERCOM",7941
"Neglected",7720
"Building Shaking/Vibrating/Structural Stability",7685
"Double Parked Blocking Vehicle",7618
"Engine Idling",7613
"Branch Cracked and Will Fall",7610
"Pothole - Highway",7479
"Noise: air condition/ventilation equipment (NV1)",7246
"Mouse Sighting",7152
"DAMP SPOT",6750
"Initial - Construction",6602
"WINDOWS",6432
"1R Missed Recycling-All Materials",6373
"WIRING",6358
"Car/Truck Horn",6324
"REFRIGERATOR",6301
"Banging/Pounding",6071
"Electrical Wiring Defective/Exposed",5967
"Hitting Power/Phone Lines",5811
"Water Meter Broken/Leaking - Private Residence (CMR)",5627
"Cons - Contrary/Beyond Approved Plans/Permits",5421
"No Parking, Standing, Stopping",5280
"Noise: Alarms (NR3)",5228
"St Name - Attached to Pole",5180
"E1 Improper Disposal",5146
"Hydrant Defective (WC2)",5098
"Blocking Street",5055
"DOORS",5024
"2 Bulk-Missed Collection",5016
"Congestion/Gridlock",4780
"Unlicensed",4745
"Dead Branches in Tree",4666
"WINDOW PANE",4660
"No Certificate Of Occupancy/Illegal/Contrary To CO",4586
"NO WATER - WNW",4586
"Line/Marking - Faded",4526
"Exchange/Refund/Return",4488
"Street Light Cycling",4465
"E8 Canine Violation",4443
"DOOR FRAME",4421
"1 or 2",4416
"10 Litter Basket / Request",4363
"SMOKE DETECTOR",4259
"E10 Obstruction (Street/Sidewalk)",4044
"Possible Water Main Break (Use Comments) (WA1)",4028
"E12 Illegal Dumping Surveillance",3996
"No Status Call",3981
"Illegal. Commercial Use In Resident Zone",3937
"Excessive Water In Basement (WEFB)",3793
"Other (complaint details)",3763
"Noise: Jack Hammering (NC2)",3759
"Non-Delivery Goods/Services",3755
